Q14942930	Wikimedia subject-area collaboration
Q588274	lattice point group
Q568642	British independent, worldwide publishing house
Q11268	bicameral legislature of the United States
Q16516296	Hungarian film distributor
Q7976792	Wikimedia category
Q168658	model of a character or a human beings, often used as a toy for children or an artistic hobby for adults
Q2100893	open bowl-shaped vessel atop a stem, used chiefly for drinking, often having one handle
Q208045	color
Q20644794	rating in the FSK German film-rating system: without restriction
Q9592	set of 24 particular churches in communion with the bishop of Rome
Q56546	language
Q6567946	Wikimedia list article
Q24489	A combustible black or brownish-black sedimentary rock.
Q106575331	inaccurate recollection of information stored in human memory
Q131214	electrical device which converts electric power into radio waves, and vice versa
Q177941	family of synthetic polymers originally developed as textile fibers
Q487	conscious or subconscious facial muscular movement conveying mirth or pleasure
Q7175	branch of biology concerned with the study of fungi
Q12725	physical phenomena associated with the presence and flow of electric charge
Q4049293	Wikimedia category
Q11030	investigation and reporting of events, issues and trends to a broad audience
Q19847226	Wikimedia category
Q28744141	2017 single by Digital Farm Animals
Q2632167	energy that is collected from limited resources (only about energy such as fossil and nuclear)
Q10189809	Wikimedia category
Q79030196	qualifies something (inception or end of a thing, event, or date) as happening previously to another thing
Q7232869	Wikimedia category
Q5159627	elaborate sweets
Q3198719	any land capable of being ploughed and used to grow crops
Q272002	illness resulting from food that is spoiled or contaminated by pathogenic bacteria, viruses, parasites or toxins
Q3309953	act of putting an object under warm water for a relatively long period of time
Q8757264	Wikimedia category
Q7976466	British artist
Q190120	gaseous phase of water; unlike other forms of water, water vapor is invisible
Q17183888	administrative region of Venezuela
Q1726215	material that forms its final material properties only during the manufacturing
Q2916374	book by Neil Postman
Q6199	political philosophy and movement
Q1439	state of the United States of America
Q7134776	Wikimedia category
Q550050	stock exchange located in Belgrade, Serbia
Q6157553	Wikimedia category
Q5626376	Wikimedia category
Q34453	Soviet and Russian politician, 1st President of Russia (1931-2007)
Q21876206	species of plant
Q2382443	superdomain of all organisms
Q165115	family of mammals
Q99485144	person who acts illegally or immorally
Q206717	set of non-stellar objects in orbit around a star
Q2112073	monetary income distributed to the owner of an enterprise
Q23649981	rating category in the Kijkwijzer system
Q8762127	Wikimedia set category
Q7541910	Wikimedia category
Q727694	standard form of Chinese and the official language of China
Q160070	failure to exercise the care that a reasonably prudent person would exercise in like circumstances
Q489357	chief dwelling-house attached to a farm
Q622550	advertisement for a feature film
Q339062	breaking down of living matter
Q2515887	type of animal behavior, humans included
Q5870765	aspect of history
Q1216832	Wikimedia disambiguation page
Q895583	film depicting the sport of boxing
Q930412	vertical distance below the reference surface
Q7882536	not restricted to any particular or specific religious denomination
Q200539	garment for women, children, or infants consisting of a bodice and skirt made in one or more pieces
Q856419	library in Florence, Italy
Q30024	genus of plants
Q9581	Ethical and philosophical system originated from ancient China
Q33669098	root vegetable
Q10069339	Wikimedia category
Q19844914	building used by a higher education institution
Q131123	presence of dangerous substances in the atmosphere
Q746656	history of the study of the living world
Q1323314	simple tool in the form of a non-rigid container
Q1667921	set of novels that should be read in order
Q272999	craft of a mason; stonework
Q11986959	type of direct pathogen transmission
Q2110398	1981 studio album by Jon and Vangelis, Vangelis
Q14468215	Wikimedia template
Q1964387	American film editor
Q41050	Genus of ape found in rainforests on the Southeast Asian islands of Sumatra and Borneo
Q11110	Currency symbol for the dollar or peso
Q380342	manufacturing facility where products are hand-made
Q99895	cushion for the head
Q9662	main component of most computer operating systems
Q131154	agricultural tool
Q9262	pattern of stars recognized on Earth's night sky
Q2844542	positive emotion
Q76651279	recruitment status in clinical trials
Q182153	2006 film directed by John Lasseter and Joe Ranft
Q3851114	likelihood of a favorable event occurring
Q9773898	Wikimedia category
Q2533027	subfamily of plants
Q7223116	clothing for wear at the beach, or at poolside
Q847142	time zone in North America
Q188193	group of organs that work together to perform one or more functions; collection of organs joined in structural unit to serve a common function
Q590891	district of China
Q496785	architectural structure
Q11418	fundamental interaction responsible for beta decay and nuclear fission
Q12334006	type of bus for conveying passengers on excursions and on longer-distance intercity coach services
Q8226185	Wikimedia category
Q4157300	Wikimedia disambiguation page
Q7907952	reduction of disease among the vaccinated comparing to the unvaccinated
Q2920644	in systems and engineering, part of the universe outside the boundaries of a system
Q7367	family of nematoceran flies
Q1355	city in Karnataka, India
Q2735883	fruit used as vegetable
Q3303814	music term; the first official album release by a recording artist or group
Q7806874	Wikimedia category
Q55329939	Wikimedia category
Q5172455	Christian theological doctrine
Q214339	set of behaviours, rights, obligations, beliefs, and norms expected from an individual that has a certain social status
Q7397	non-tangible executable component of a computer
Q163767	substance that decreases the rate of, or prevents, a chemical reaction
Q27198272	2017 film by Dzhanik Fayziev
Q271768	glass-like by-product left over after a desired metal has been separated from its raw ore
Q725744	any specific mechanical, visual, or functional arrangement of the keys of a keyboard or typewriter
Q11395329	cooling of air; includes air conditioning as well as electronic fans and other similar devices
Q71887839	copyrights of works published during the lifetime of the author have expired
Q7210494	Wikimedia category
Q7132780	Wikimedia category
Q15618781	any land vehicle with wheel
Q25271255	Wikimedia category
Q9689422	Wikimedia category
Q14712	fleshy fruit with hard inner layer (endocarp or stone) surrounding the seed
Q35875	physical law relating mass to energy
Q236318	American singer
Q869095	process in the production of beer
Q3217573	strip of flexible material, especially leather, used for fastening or holding things together
Q538	geographic region comprising Melanesia, Micronesia and Polynesia
Q1298934	music genre in which the synthesizer is a key instrument
Q61977	American composer and musician
Q154558	cutaneous disease
Q42876	national flag of Italy
Q37547	branch of astronomy
Q1470757	flesh of a fruit
Q796194	process of medicine done to heal; course of action intended to achieve a result in the delivery of healthcare
Q3406372	engineering process
Q7366	musical composition for voice(s)
Q662717	German municipality
